date,registrations
1/17/2011,1408
1/24/2011,1709
1/31/2011,1860
2/7/2011,2039
2/14/2011,2165
2/21/2011,2292
2/28/2011,2440
3/7/2011,2523
3/14/2011,2617
3/21/2011,2697
3/28/2011,2782
4/4/2011,2899
4/11/2011,2956
4/18/2011,3059
4/25/2011,3110
5/5/2011,3182
5/10/2011,3297
5/16/2011,3304
5/23/2011,3554
5/30/2011,3690
6/6/2011,3815
6/10/2011,3619
6/20/2011,3736
6/27/2011,3877
7/5/2011,3957
7/11/2011,4030
7/18/2011,4121
7/25/2011,4216
8/1/2011,4326
8/8/2011,4453
8/15/2011,4582
8/22/2011,4785
8/29/2011,4948
9/5/2011,5371
9/12/2011,5794
9/19/2011,6472
9/26/2011,7182
10/3/2011,7578
10/11/2011,7836
10/17/2011,8360
10/24/2011,8620
10/31/2011,9231
11/7/2011,9490
11/14/2011,9735
11/21/2011,9993
11/28/2011,10421
12/5/2011,10944
12/12/2011,11244
12/19/2011,11456
12/26/2011,11722
1/2/2012,11989
1/9/2012,12255
1/16/2012,12571
1/23/2012,12886
1/30/2012,13168
2/6/2012,13511
2/13/2012,13719
2/21/2012,14144
2/27/2012,14441
3/5/2012,14770
3/12/2012,15488
3/19/2012,16148
3/26/2012,16672
4/2/2012,17082
4/9/2012,17481
4/16/2012,17918
4/23/2012,18390
4/30/2012,18844
5/7/2012,19464
5/14/2012,22642
5/21/2012,23519
5/28/2012,24172
6/4/2012,26673
6/11/2012,27706
6/18/2012,28395
6/25/2012,29139
7/2/2012,29897
7/9/2012,30557
7/16/2012,31386
7/23/2012,32155
7/30/2012,32970
8/6/2012,33767
8/13/2012,34546
8/19/2012,35301
8/27/2012,36316
9/3/2012,37401
9/10/2012,38650
9/17/2012,39819
9/24/2012,40975
10/1/2012,41954
10/9/2012,43147
10/15/2012,44081
10/22/2012,45767
10/29/2012,47192
11/5/2012,48300
11/12/2012,49514
11/19/2012,50695
11/26/2012,51909
12/3/2012,53333
12/10/2012,54714
12/17/2012,55958
12/24/2012,57078
12/30/2012,57938
1/6/2013,58926
1/14/2013,60105
1/21/2013,61224
1/28/2013,62368
2/4/2013,63542
2/11/2013,64768
2/18/2013,66208
2/25/2013,67335
3/4/2013,68543
3/11/2013,69785
3/18/2013,71137
3/25/2013,72605
4/1/2013,73863
4/8/2013,75239
4/15/2013,76586
4/21/2013,78044
4/29/2013,79097
5/6/2013,80347
5/13/2013,81614
5/23/2013,83129
5/27/2013,83658
6/3/2013,84856
6/10/2013,86340
6/17/2013,87784
6/24/2013,89112
7/3/2013,91157
7/8/2013,92143
7/15/2013,93812
7/22/2013,95608
7/29/2013,97110
8/5/2013,98855
8/12/2013,100260
8/19/2013,101647
8/26/2013,103308
9/3/2013,105190
9/9/2013,106478
9/16/2013,108290
9/23/2013,110078
9/30/2013,112089
