Make,Class,Engine,Tran,Fuel,City,Hwy
ACURA ILX,C,2.0/4,AS5,Z,33,50
ACURA ILX,C,2.4/4,M6,Z,29,43
ACURA ILX HYBRID,C,1.5/4,AV7,Z,56,59
ACURA MDX AWD,SP,3.7/6,AS6,Z,21,29
ACURA RDX AWD,SP,3.5/6,AS6,Z,26,39
ACURA TL,M,3.5/6,AS6,Z,27,42
ACURA TL AWD,M,3.7/6,M6,Z,24,35
ACURA TL AWD,M,3.7/6,AS6,Z,25,37
ACURA TSX,C,2.4/4,M6,Z,29,42
ACURA TSX,C,2.4/4,AS5,Z,30,46
ACURA TSX,C,3.5/6,AS5,Z,26,40
ACURA ZDX AWD,SP,3.7/6,AS6,Z,22,32
ASTON MARTIN DB9,S,5.9/12,A6,Z,17,26
ASTON MARTIN V8 VANTAGE,T,4.7/8,AM7,Z,18,29
ASTON MARTIN V8 VANTAGE,T,4.7/8,M6,Z,17,27
ASTON MARTIN V8 VANTAGE S,T,4.7/8,AM7,Z,18,29
ASTON MARTIN V8 VANTAGE S,T,4.7/8,M6,Z,17,27
AUDI A3,W,2.0/4,AS6,Z,30,41
AUDI A3,W,2.0/4,M6,Z,27,42
AUDI A3 QUATTRO,W,2.0/4,AM6,Z,29,38
AUDI A3 TDI CLEAN DIESEL,W,2.0/4,AS6,D,42,60
AUDI A4,C,2.0/4,AV8,Z,33,46
AUDI A4 QUATTRO,C,2.0/4,AS8,Z,28,42
AUDI A4 QUATTRO,C,2.0/4,M6,Z,30,45
AUDI A5 CABRIOLET QUATTRO,S,2.0/4,AS8,Z,28,42
AUDI A5 QUATTRO,S,2.0/4,AS8,Z,28,42
AUDI A5 QUATTRO,S,2.0/4,M6,Z,30,45
AUDI A6 QUATTRO,M,2.0/4,AS8,Z,27,42
AUDI A6 QUATTRO,M,3.0/6,AS8,Z,25,39
AUDI A7 QUATTRO,M,3.0/6,AS8,Z,25,38
AUDI A8,M,3.0/6,AS8,Z,24,39
AUDI A8L,L,3.0/6,AS8,Z,23,37
AUDI A8L,L,4.0/8,AS8,Z,21,34
AUDI A8L,L,6.3/12,AS8,Z,17,26
AUDI ALLROAD QUATTRO,W,2.0/4,AS8,Z,27,38
AUDI Q5,SP,2.0/4,AS8,Z,27,39
AUDI Q5 HYBRID,SP,2.0/4,AS8,Z,33,41
AUDI Q7,SP,3.0/6,AS8,Z,21,30
AUDI Q7 TDI CLEAN DIESEL,SP,3.0/6,AS8,D,25,40
AUDI RS 5,S,4.2/8,AM7,Z,21,31
AUDI S4,C,3.0/6,AM7,Z,24,37
AUDI S4,C,3.0/6,M6,Z,22,34
AUDI S5,S,3.0/6,AM7,Z,24,37
AUDI S5,S,3.0/6,M6,Z,22,34
AUDI S5 CABRIOLET,S,3.0/6,AM7,Z,24,35
AUDI S6,M,4.0/8,AM7,Z,22,34
AUDI S7,M,4.0/8,AM7,Z,22,34
AUDI S8,M,4.0/8,AS8,Z,20,34
AUDI TT COUPE QUATTRO,S,2.0/4,AM6,Z,31,44
AUDI TT ROADSTER QUATTRO,T,2.0/4,AM6,Z,31,44
AUDI TT RS COUPE,S,2.5/5,M6,Z,23,35
AUDI TTS COUPE QUATTRO,S,2.0/4,AM6,Z,28,38
AUDI TTS ROADSTER QUATTRO,T,2.0/4,AM6,Z,28,38
