"Make","Model","Cyl","Class","Trans","Fuel","City","Hwy"
"ACURA","ILX","4","C","AS5","Z",33,50
"ACURA","ILX","4","C","M6","Z",29,43
"ACURA","ILX HYBRID","4","C","AV7","Z",56,59
"ACURA","MDX AWD","6","SP","AS6","Z",21,29
"ACURA","RDX AWD","6","SP","AS6","Z",26,39
"ACURA","TL","6","M","AS6","Z",27,42
"ACURA","TL AWD","6","M","M6","Z",24,35
"ACURA","TL AWD","6","M","AS6","Z",25,37
"ACURA","TSX","4","C","M6","Z",29,42
"ACURA","TSX","4","C","AS5","Z",30,46
"ACURA","TSX","6","C","AS5","Z",26,40
"ACURA","ZDX AWD","6","SP","AS6","Z",22,32
"ASTON","MARTIN DB9","12","S","A6","Z",17,26
"ASTON","MARTIN V8 VANTAGE","8","T","AM7","Z",18,29
"ASTON","MARTIN V8 VANTAGE","8","T","M6","Z",17,27
"ASTON","MARTIN V8 VANTAGE S","8","T","AM7","Z",18,29
"ASTON","MARTIN V8 VANTAGE S","8","T","M6","Z",17,27
"AUDI","A3","4","W","AS6","Z",30,41
"AUDI","A3","4","W","M6","Z",27,42
"AUDI","A3 QUATTRO","4","W","AM6","Z",29,38
"AUDI","A3 TDI CLEAN DIESEL","4","W","AS6","D",42,60
"AUDI","A4","4","C","AV8","Z",33,46
"AUDI","A4 QUATTRO","4","C","AS8","Z",28,42
"AUDI","A4 QUATTRO","4","C","M6","Z",30,45
"AUDI","A5 CABRIOLET QUATTRO","4","S","AS8","Z",28,42
"AUDI","A5 QUATTRO","4","S","AS8","Z",28,42
"AUDI","A5 QUATTRO","4","S","M6","Z",30,45
"AUDI","A6 QUATTRO","4","M","AS8","Z",27,42
"AUDI","A6 QUATTRO","6","M","AS8","Z",25,39
"AUDI","A7 QUATTRO","6","M","AS8","Z",25,38
"AUDI","A8","6","M","AS8","Z",24,39
"AUDI","A8L","6","L","AS8","Z",23,37
"AUDI","A8L","8","L","AS8","Z",21,34
"AUDI","A8L","12","L","AS8","Z",17,26
"AUDI","ALLROAD QUATTRO","4","W","AS8","Z",27,38
"AUDI","Q5","4","SP","AS8","Z",27,39
"AUDI","Q5 HYBRID","4","SP","AS8","Z",33,41
"AUDI","Q7","6","SP","AS8","Z",21,30
"AUDI","Q7 TDI CLEAN DIESEL","6","SP","AS8","D",25,40
"AUDI","RS 5","8","S","AM7","Z",21,31
"AUDI","S4","6","C","AM7","Z",24,37
"AUDI","S4","6","C","M6","Z",22,34
"AUDI","S5","6","S","AM7","Z",24,37
"AUDI","S5","6","S","M6","Z",22,34
"AUDI","S5 CABRIOLET","6","S","AM7","Z",24,35
"AUDI","S6","8","M","AM7","Z",22,34
"AUDI","S7","8","M","AM7","Z",22,34
"AUDI","S8","8","M","AS8","Z",20,34
"AUDI","TT COUPE QUATTRO","4","S","AM6","Z",31,44
"AUDI","TT ROADSTER QUATTRO","4","T","AM6","Z",31,44
"AUDI","TT RS COUPE","5","S","M6","Z",23,35
"AUDI","TTS COUPE QUATTRO","4","S","AM6","Z",28,38
"AUDI","TTS ROADSTER QUATTRO","4","T","AM6","Z",28,38
"BENTLEY","CONTINENTAL FLYING SPUR","12","M","AM6","Z",15,25
"BENTLEY","CONTINENTAL GT","12","C","AS6","Z",15,25
"BENTLEY","CONTINENTAL GT","8","C","AS8","Z",20,34
"BENTLEY","CONTINENTAL GTC","8","S","AS8","Z",19,31
"BENTLEY","CONTINENTAL GTC","12","S","AM6","Z",15,25
"BENTLEY","CONTINENTAL SUPERSPORTS CONVERTIBLE","12","S","AM6","Z",15,25
"BENTLEY","MULSANNE","8","M","AS8","Z",14,22
"BMW","128i CABRIOLET","6","S","A6","Z",25,38
"BMW","128i CABRIOLET","6","S","M6","Z",26,40
"BMW","128i COUPE","6","S","A6","Z",25,42
"BMW","128i COUPE","6","S","M6","Z",26,40
"BMW","135i CABRIOLET","6","S","AM7","Z",24,36
"BMW","135i CABRIOLET","6","S","M6","Z",27,42
"BMW","135i COUPE","6","S","AM7","Z",24,36
"BMW","135i COUPE","6","S","M6","Z",27,40
"BMW","320i","4","C","A8","Z",33,54
"BMW","320i","4","C","M6","Z",32,52
"BMW","328i","4","C","A8","Z",33,51
"BMW","328i","4","C","M6","Z",31,50
"BMW","328i CABRIOLET","6","S","A6","Z",25,38
"BMW","328i CABRIOLET","6","S","M6","Z",23,38
"BMW","328i COUPE","6","S","A6","Z",25,42
"BMW","328i COUPE","6","S","M6","Z",26,40
"BMW","328i xDRIVE","4","C","A8","Z",31,47
"BMW","328i xDRIVE COUPE","6","S","A6","Z",24,36
"BMW","328i xDRIVE COUPE","6","S","M6","Z",23,37
"BMW","335i","6","C","A8","Z",31,47
"BMW","335i","6","C","M6","Z",27,42
"BMW","335i CABRIOLET","6","S","A6","Z",24,38
"BMW","335i CABRIOLET","6","S","M6","Z",27,42
"BMW","335i COUPE","6","S","A6","Z",24,38
"BMW","335i COUPE","6","S","M6","Z",27,42
"BMW","335i xDRIVE","6","C","A8","Z",29,45
"BMW","335i xDRIVE","6","C","M6","Z",26,39
"BMW","335i xDRIVE COUPE","6","S","A6","Z",25,38
"BMW","335i xDRIVE COUPE","6","S","M6","Z",26,39
"BMW","335is CABRIOLET","6","S","AM7","Z",23,33
"BMW","335is CABRIOLET","6","S","M6","Z",24,38
"BMW","335is COUPE","6","S","AM7","Z",23,33
"BMW","335is COUPE","6","S","M6","Z",24,38
"BMW","528i","4","M","A8","Z",33,50
"BMW","528i xDRIVE","4","M","A8","Z",31,47
"BMW","535i xDRIVE","6","M","A8","Z",29,43
"BMW","535i xDRIVE GRAN TURISMO","6","L","A8","Z",25,38
"BMW","550i xDRIVE","8","M","A8","Z",21,34
"BMW","550i xDRIVE GRAN TURISMO","8","L","A8","Z",22,34
"BMW","650i xDRIVE CABRIOLET","8","C","A8","Z",22,34
"BMW","650i xDRIVE COUPE","8","C","A8","Z",21,34
"BMW","650i xDRIVE GRAN COUPE","8","M","A8","Z",22,34
"BMW","740Li xDRIVE","6","L","A8","Z",25,38
"BMW","750i xDRIVE","8","L","A8","Z",22,34
