DATE,RATE
9/4/2013,3
8/28/2013,3
8/21/2013,3
8/14/2013,3
8/7/2013,3
7/31/2013,3
7/24/2013,3
7/17/2013,3
7/10/2013,3
7/3/2013,3
6/26/2013,3
6/19/2013,3
6/12/2013,3
6/5/2013,3
5/29/2013,3
5/22/2013,3
5/15/2013,3
5/8/2013,3
5/1/2013,3
4/24/2013,3
4/17/2013,3
4/10/2013,3
4/3/2013,3
3/27/2013,3
3/20/2013,3
3/13/2013,3
3/6/2013,3
2/27/2013,3
2/20/2013,3
2/13/2013,3
2/6/2013,3
1/30/2013,3
1/23/2013,3
1/16/2013,3
1/9/2013,3
1/2/2013,3
12/26/2012,3
12/19/2012,3
12/12/2012,3
12/5/2012,3
11/28/2012,3
11/21/2012,3
11/14/2012,3
11/7/2012,3
10/31/2012,3
10/24/2012,3
10/17/2012,3
10/10/2012,3
10/3/2012,3
9/26/2012,3
9/19/2012,3
9/12/2012,3
9/5/2012,3
8/29/2012,3
8/22/2012,3
8/15/2012,3
8/8/2012,3
8/1/2012,3
7/25/2012,3
7/18/2012,3
7/11/2012,3
7/4/2012,3
6/27/2012,3
6/20/2012,3
6/13/2012,3
6/6/2012,3
5/30/2012,3
5/23/2012,3
5/16/2012,3
5/9/2012,3
5/2/2012,3
4/25/2012,3
4/18/2012,3
4/11/2012,3
4/4/2012,3
3/28/2012,3
3/21/2012,3
3/14/2012,3
3/7/2012,3
2/29/2012,3
2/22/2012,3
2/15/2012,3
2/8/2012,3
2/1/2012,3
1/25/2012,3
1/18/2012,3
1/11/2012,3
1/4/2012,3
12/28/2011,3
12/21/2011,3
12/14/2011,3
12/7/2011,3
11/30/2011,3
11/23/2011,3
11/16/2011,3
11/9/2011,3
11/2/2011,3
10/26/2011,3
10/19/2011,3
10/12/2011,3
10/5/2011,3
9/28/2011,3
9/21/2011,3
9/14/2011,3
9/7/2011,3
8/31/2011,3
8/24/2011,3
8/17/2011,3
8/10/2011,3
8/3/2011,3
7/27/2011,3
7/20/2011,3
7/13/2011,3
7/6/2011,3
6/29/2011,3
6/22/2011,3
6/15/2011,3
6/8/2011,3
6/1/2011,3
5/25/2011,3
5/18/2011,3
5/11/2011,3
5/4/2011,3
4/27/2011,3
4/20/2011,3
