ward,year,r.accounts,r.usage,r.avg.use,c.accounts,a.usage,a.avg.use,total.accounts,total.consumption,avg.consumption
1,2000,8001,3205059.95,400.58,148,4730288.41,31961.41,8149,7935348.36,973.78
2,2000,9909,3567370.52,360.01,245,12607962.50,51461.07,10154,16175333.02,1593.00
3,2000,10389,2821739.38,271.61,97,3094197.21,31898.94,10486,5915936.59,564.17
4,2000,10869,3425158.76,315.13,87,2194651.12,25225.87,10956,5619809.88,512.94
5,2000,14321,4395553.77,306.93,240,5427934.05,22616.39,14561,9823487.82,674.64
6,2000,11071,3366132.21,304.05,171,5715486.11,33423.90,11242,9081618.32,807.83
7,2000,8960,3883303.66,433.40,207,6436735.19,31095.34,9167,10320038.85,1125.78
8,2000,3939,2062795.75,523.69,233,7149130.68,30682.96,4172,9211926.43,2208.04
9,2000,8067,2836868.01,351.66,118,2739060.44,23212.38,8185,5575928.45,681.24
10,2000,8862,3174900.50,358.26,151,4727567.51,31308.39,9013,7902468.01,876.79
11,2000,10543,3691579.18,350.15,143,6087812.56,42572.12,10686,9779391.74,915.16
12,2000,8989,3245173.21,361.02,148,3406889.76,23019.53,9137,6652062.97,728.04
13,2000,8152,2462327.65,302.05,66,1785840.13,27058.18,8218,4248167.78,516.93
14,2000,3236,2063165.67,637.57,114,2821457.41,24749.63,3350,4884623.08,1458.10
15,2000,11275,4484968.21,397.78,175,3976573.18,22723.28,11450,8461541.39,739.00
16,2000,8030,2935912.02,365.62,89,1598742.85,17963.40,8119,4534654.87,558.52
17,2000,6501,2546205.08,391.66,46,431529.17,9381.07,6547,2977734.25,454.82
18,2000,2596,1402932.34,540.42,64,2232576.68,34884.01,2660,3635509.02,1366.73
19,2000,3450,1846965.17,535.35,65,1757347.43,27036.11,3515,3604312.60,1025.41
20,2000,4271,3890044.20,910.80,375,9032300.48,24086.13,4646,12922344.68,2781.39
21,2000,7043,3096088.00,439.60,116,2123911.99,18309.59,7159,5219999.99,729.15
22,2000,4316,2493404.86,577.71,220,4410367.44,20047.12,4536,6903772.30,1522.00
23,2000,11695,3526996.38,301.58,148,3908334.40,26407.66,11843,7435330.78,627.82
24,2000,10734,3675180.44,342.39,124,3316169.37,26743.30,10858,6991349.81,643.89
25,2000,10511,4875388.40,463.84,140,3220184.49,23001.32,10651,8095572.89,760.08
26,2000,4986,1469528.74,294.73,185,7520206.14,40649.76,5171,8989734.88,1738.49
27,2000,3542,2755854.55,778.05,395,13212781.65,33450.08,3937,15968636.20,4056.04
28,2000,2102,1611191.79,766.50,304,12809217.54,42135.58,2406,14420409.33,5993.52
29,2000,8954,2539488.22,283.61,77,1700882.36,22089.38,9031,4240370.58,469.53
30,2000,3769,2047148.66,543.15,79,2480385.05,31397.28,3848,4527533.71,1176.59
31,2000,10582,3067303.26,289.86,86,3432887.87,39917.30,10668,6500191.13,609.32
32,2000,5058,2063263.01,407.92,68,1200986.48,17661.57,5126,3264249.49,636.80
33,2000,6924,2406653.15,347.58,139,4764942.80,34280.16,7063,7171595.95,1015.38
34,2000,7016,2500717.68,356.43,225,5447031.72,24209.03,7241,7947749.40,1097.60
35,2000,10039,3290976.88,327.82,143,4155143.64,29056.95,10182,7446120.52,731.30
36,2000,11588,3295532.79,284.39,97,2732508.34,28170.19,11685,6028041.13,515.88
37,2000,12872,4346878.90,337.70,201,7807391.29,38842.74,13073,12154270.19,929.72
38,2000,10098,3144489.27,311.40,151,4587831.57,30382.99,10249,7732320.84,754.45
39,2000,8211,3446169.21,419.70,96,3443096.61,35865.59,8307,6889265.82,829.33
40,2000,7849,3018119.26,384.52,133,3873348.37,29122.92,7982,6891467.63,863.38
41,2000,13500,5254697.14,389.24,154,3836733.65,24913.85,13654,9091430.79,665.84
42,2000,10083,4288385.32,425.31,113,3034294.41,26852.16,10196,7322679.73,718.19
43,2000,8715,2743570.84,314.81,104,2945428.69,28321.43,8819,5688999.53,645.08
44,2000,14493,4484791.72,309.45,58,1502354.03,25902.66,14551,5987145.75,411.46
