
 num     #instances         #bytes  class name
----------------------------------------------
   1:        178140       26859808  <constMethodKlass>
   2:        178140       24245440  <methodKlass>
   3:         20355       23653008  <constantPoolKlass>
   4:         20355       18770672  <instanceKlassKlass>
   5:         81226       13204120  [C
   6:         16339       11849216  <constantPoolCacheKlass>
   7:         19261        9452904  [I
   8:        121160        8915616  [B
   9:        170115        5443680  java.util.concurrent.locks.AbstractQueuedSynchronizer$Node
  10:        165531        3972744  java.lang.Long
  11:         85779        2744928  java.lang.String
  12:          5284        2707368  <methodDataKlass>
  13:         21437        2521416  java.lang.Class
  14:         54281        2171240  com.intellij.openapi.vfs.newvfs.impl.VirtualFileImpl
  15:         25823        2053896  [Ljava.lang.Object;
  16:         33616        1705816  [S
  17:         48735        1559520  com.intellij.util.containers.IntObjectLinkedMap$MapEntry
  18:         32069        1477448  [[I
  19:           442         813192  [J
  20:         24091         770912  java.util.HashMap$Entry
  21:          7836         730088  [Ljava.util.HashMap$Entry;
  22:         21869         699808  org.jdom.Attribute
  23:          1065         621960  <objArrayKlassKlass>
  24:         17284         553088  java.security.AccessControlContext
  25:         13216         528640  java.util.LinkedHashMap$Entry
  26:         15481         495392  com.intellij.util.containers.ConcurrentHashMap$HashEntry
  27:          2208         459264  sun.java2d.SunGraphics2D
  28:         25945         415120  java.lang.Integer
  29:         10351         414040  org.jdom.Element
  30:            32         384512  [Lcom.intellij.util.containers.IntObjectLinkedMap$MapEntry;
  31:          9363         374520  java.lang.ref.SoftReference
  32:          7753         335600  [Lorg.jdom.Attribute;
  33:         13893         333432  java.util.ArrayList
  34:         10407         333024  org.jdom.ContentList
  35:         10351         331232  org.jdom.AttributeList
  36:          4532         326304  java.lang.reflect.Constructor
  37:         13386         321264  org.jdom.Text
  38:          4114         310112  [Lcom.intellij.openapi.vfs.newvfs.impl.VirtualFileSystemEntry;
  39:          9380         300160  java.util.Hashtable$Entry
  40:          8688         278016  java.util.LinkedHashMap$KeyIterator
  41:          4313         276032  java.awt.event.InvocationEvent
  42:          6859         274360  java.util.TreeMap$Entry
  43:          7122         227904  java.util.ArrayList$Itr
  44:          4583         219984  java.util.HashMap
  45:          5492         219680  com.intellij.util.containers.hash.LinkedHashMap$Entry
